Feature,TrainMean,DayMean,MeanΔ%,KS_D,KS_p
Protocol,0.5480128076332628,9.118395,1563.9017754759666,0.9845708839711013,0.0
Flow Duration,0.9998831281209773,14933731.0,1493547552.2269783,0.9936268378877118,0.0
Tot Fwd Pkts,0.00038535047717287236,6.3506885,1647924.94208165,0.9999998984138851,0.0
Tot Bwd Pkts,0.00026096698309919776,8.217319,3148684.1681818687,0.7295787149330468,0.0
TotLen Fwd Pkts,4.984634200150011e-05,393.42145,789252509.9848344,0.7077091140027015,0.0
TotLen Bwd Pkts,0.00013365791319191786,7335.801,5488448523.488123,0.6407532567484984,0.0
Fwd Pkt Len Max,0.0037343655205598846,177.10968,4742596.765346633,0.7077090124165868,0.0
Fwd Pkt Len Min,0.008996383344505915,12.878939,143056.83037477068,0.295073133988651,0.0
Fwd Pkt Len Mean,0.0036097074997569205,45.14435,1250536.9461293425,0.7076683744371949,0.0
Fwd Pkt Len Std,0.004686275475604079,54.58079,1164594.224903856,0.4153899920855164,0.0
Bwd Pkt Len Max,0.005723274326790623,360.14825,6292594.896394012,0.6407531551623837,0.0
Bwd Pkt Len Min,0.02195232997299371,29.746302,135404.0687414726,0.2831281181062011,0.0
Bwd Pkt Len Mean,0.004130484708043108,118.592606,2871053.999174729,0.6407531551623837,0.0
Bwd Pkt Len Std,0.006154528126464676,127.30995,2068457.1416956922,0.35986262386398704,0.0
Flow Byts/s,0.0001930254903868355,262272.94,135874064114.91261,0.7058983152623154,0.0
Flow Pkts/s,0.005474861053313831,27160.166,496088490.9296374,0.9731562515003908,0.0
Flow IAT Mean,0.9996548625947121,7983715.5,798647092.2210165,0.9935145134407342,0.0
Flow IAT Std,3.1393931859500416e-06,3984820.8,126889230553191.39,0.5078429422879276,0.0
Flow IAT Max,0.13995902093495197,15911028.0,11368347420.601343,0.9946469787305765,0.0
Flow IAT Min,0.9998745102286526,1407791.6,140796730.92132202,0.935973095716327,0.0
Fwd IAT Tot,0.9998828214694465,14571294.0,1457300062.8343563,0.7259999467621638,0.0
Fwd IAT Mean,0.9996560214386566,8273148.5,827599425.6666079,0.7256844063918806,0.0
Fwd IAT Std,3.6244786596699336e-06,4080130.8,112540470735189.31,0.43958009876280435,0.0
Fwd IAT Max,0.13995886946978636,15662024.0,11190447456.077585,0.7266422888440744,0.0
Fwd IAT Min,0.9998745923534385,1469543.8,146972706.3667823,0.7186582818685954,0.0
Bwd IAT Tot,0.07478509328437677,8359001.5,11177362956.084648,0.4175161856570313,0.0
Bwd IAT Mean,0.008240494898934952,691240.94,8388341402.473667,0.4174875655197119,0.0
Bwd IAT Std,0.011723856062740366,868451.25,7407555667.2912035,0.3600127073409698,0.0
Bwd IAT Max,0.025961963242106964,2525815.2,9728906489.83134,0.4175161856570313,0.0
Bwd IAT Min,0.0030927852853289963,125126.12,4045740718.9195547,0.36986079500646696,0.0
Fwd PSH Flags,0.05431037504069794,0.038626693,-28.87787379671447,0.015683683709832863,7.645352586043879e-203
Bwd PSH Flags,0.0,0.0,0.0,0.0,1.0
Fwd URG Flags,0.0,0.0,0.0,0.0,1.0
Bwd URG Flags,0.0,0.0,0.0,0.0,1.0
Fwd Header Len,0.0002884301966453826,128.36751,44505317.38499746,0.9845708839711013,0.0
Bwd Header Len,0.0002726876820553745,169.36227,62108188.79818698,0.7290827341389584,0.0
Fwd Pkts/s,0.004932796338310543,24184.002,490269422.43306404,0.9795301253128582,0.0
Bwd Pkts/s,0.00162619368444566,2976.156,183013412.11677906,0.7230447167712116,0.0
Pkt Len Min,0.008896369020156534,12.733746,143034.17210727843,0.2930688855313567,0.0
Pkt Len Max,0.006606493496035903,368.42645,5576631.394520737,0.7083768156207066,0.0
Pkt Len Mean,0.005250380559282624,78.832634,1501364.8570405825,0.7083767140345918,0.0
Pkt Len Std,0.005986393767963834,111.68103,1865480.7811422336,0.696038166491731,0.0
Pkt Len Var,9.072293752063292e-05,38054.31,41945168544.26931,0.696038166491731,0.0
FIN Flag Cnt,0.005660784661309354,0.0051191887,-9.567505378549354,0.0005415960994425983,0.943748703498789
SYN Flag Cnt,0.05431037504069794,0.038626693,-28.87787379671447,0.015683683709832863,7.645352586043879e-203
RST Flag Cnt,0.18901529023406966,0.11789207,-37.62828825381358,0.07112322058791942,0.0
PSH Flag Cnt,0.38470621041633546,0.3749009,-2.5487769230903017,0.009805307641803984,1.530104732409809e-79
ACK Flag Cnt,0.28261561896673715,0.31466696,11.340964699745502,0.032051342805345384,0.0
URG Flag Cnt,0.04114918276510293,0.040991668,-0.3827903559679427,0.00015751408707664893,1.0
CWE Flag Count,0.0,0.0,0.0,0.0,1.0
ECE Flag Cnt,0.1890164076813325,0.11789112,-37.62916153529935,0.07112529203975959,0.0
Down/Up Ratio,0.0016247529259047126,0.4826023,29603.100978260904,0.46201954518415034,0.0
Pkt Size Avg,0.006040717672626969,90.61017,1499889.8748575053,0.7083767140345918,0.0
Fwd Seg Size Avg,0.0036097074997569205,45.14435,1250536.9461293425,0.7076683744371949,0.0
Bwd Seg Size Avg,0.004130484708043108,118.592606,2871053.999174729,0.6407531551623837,0.0
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,1.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,1.0
Subflow Fwd Pkts,0.00038535047717287236,6.3506885,1647924.94208165,0.9999998984138851,0.0
Subflow Fwd Byts,4.984634200150011e-05,393.42145,789252509.9848344,0.7077091140027015,0.0
Subflow Bwd Pkts,0.00026096698309919776,8.217319,3148684.1681818687,0.7295787149330468,0.0
Subflow Bwd Byts,0.00013365791319191786,7335.801,5488448523.488123,0.6407532567484984,0.0
Init Fwd Win Byts,0.1067403660279143,8731.118,8179671.540208565,0.6875510988701724,0.0
Init Bwd Win Byts,0.1558649735920948,10471.187,6718013.900086941,0.551238154840667,0.0
Fwd Act Data Pkts,0.0013795760859565728,2.1790037,157847.2244571427,0.467895259375827,0.0
Fwd Seg Size Min,0.2961958727813722,16.22729,5378.566933990029,0.9845708839711013,0.0
Active Mean,0.0019780234147701303,61318.84,3100004095.391945,0.10024765340261355,0.0
Active Std,0.0015138822201730376,29617.332,1956381451.5351129,0.07751764192964594,0.0
Active Max,0.002985260529835147,111808.13,3745337844.2663198,0.10024765340261355,0.0
Active Min,0.0013057589357679089,45098.062,3453778903.6787376,0.10024765340261355,0.0
Idle Mean,1.2773395828510697e-05,11702902.0,91612176083255.19,0.1849681314770948,0.0
Idle Std,1.0006571404083346e-06,1586246.2,158362196604753.53,0.09021609209992765,0.0
Idle Max,4.75120450938938e-06,14532333.0,305801927742847.44,0.1849681314770948,0.0
Idle Min,0.00032355773801487223,9527108.0,2944475571306.7876,0.1849681314770948,0.0
