file,orig_thr,new_thr,anchor,action
02-14-2018.csv,1.0,8.259361728855465,740.5175,0
02-15-2018.csv,8.259362,8.0,6648.924,2
02-14-2018.csv,8.0,8.28,740.5173,0
02-15-2018.csv,8.28,8.0,6648.927,2
02-14-2018.csv,8.0,8.0,751.7816,2
02-15-2018.csv,8.0,8.28,6654.5747,0
02-14-2018.csv,1.0,8.259361728855465,751.7816,0
02-15-2018.csv,8.259362,8.0,6654.5747,1
02-14-2018.csv,8.0,8.0,751.7816,2
02-15-2018.csv,8.0,8.0,6654.5747,2
02-14-2018.csv,751.7816,8.0,2
02-15-2018.csv,6654.5747,8.28,0
02-14-2018.csv,751.7816,8.28,0
02-15-2018.csv,6654.5747,8.28,0
02-14-2018.csv,751.7816,8.0,1
02-15-2018.csv,6654.5747,8.0,2
02-14-2018.csv,751.7816,8.0,2
02-15-2018.csv,6654.5747,8.0,1
02-14-2018.csv,8.0,8.0,751.7816,1
02-15-2018.csv,8.0,8.28,6654.5747,0
02-14-2018.csv,1.0,8.534674180321037,751.7816,0
02-15-2018.csv,8.534674,8.0,6654.5747,2
02-14-2018.csv,8.0,8.0,137.96399,1
02-15-2018.csv,8.0,8.0,964.9584,2
02-14-2018.csv,8.0,8.0,137.96399,2
02-15-2018.csv,8.0,8.28,964.9584,0
02-14-2018.csv,1.0,7.170488,137.96399,1
02-15-2018.csv,7.170488,8.830871,964.9584,0
02-14-2018.csv,8.830871,8.0,137.96399,1
02-15-2018.csv,8.0,8.0,964.9584,2
02-16-2018.csv,8.0,8.0,12.9175625,2
02-20-2018.csv,8.0,8.0,1158.0188,1
02-21-2018.csv,8.0,8.0,25518.521,1
02-22-2018.csv,8.0,8.0,782.11884,1
02-23-2018.csv,8.0,8.0,870.4065,2
02-28-2018.csv,8.0,8.0,3420.3232,2
03-01-2018.csv,8.0,8.0,2346.9553,2
03-02-2018.csv,8.0,8.0,1266.1168,2
02-14-2018.csv,8.0,8.0,129.76897,2
02-15-2018.csv,8.0,8.0,112.20533,2
02-16-2018.csv,8.0,8.0,3.7376895,2
02-20-2018.csv,8.0,8.0,719.6078,1
02-21-2018.csv,8.0,8.0,8.138754,1
02-22-2018.csv,8.0,8.0,36.7901,1
02-23-2018.csv,8.0,8.0,33.40443,1
02-28-2018.csv,8.0,8.28,544.3472,0
03-01-2018.csv,8.28,8.0,371.70374,2
03-02-2018.csv,8.0,8.0,506.05185,1
02-14-2018.csv,1.0,7.9090633,129.76897,2
02-15-2018.csv,7.909063,9.105881,112.20533,1
02-20-2018.csv,9.105881,8.0,719.6078,1
02-21-2018.csv,8.0,7.2,8.138754,0
03-01-2018.csv,7.2,8.0,371.70374,2
03-02-2018.csv,8.0,8.0,506.05185,2
02-23-2018.csv,8.0,8.0,33.40443,2
02-22-2018.csv,8.0,8.28,36.7901,0
02-16-2018.csv,8.28,8.999634,3.7376895,1
02-28-2018.csv,8.999634,8.0,544.3472,2
02-14-2018.csv,1.0,7.9090633,129.76897,1
02-15-2018.csv,7.909063,8.0,112.20533,2
02-20-2018.csv,8.0,8.28,719.6078,0
02-21-2018.csv,8.28,8.0,8.138754,1
03-01-2018.csv,8.0,8.0,371.70374,1
03-02-2018.csv,8.0,8.0,506.05185,2
02-23-2018.csv,8.0,8.0,33.40443,2
02-22-2018.csv,8.0,8.28,36.7901,0
02-16-2018.csv,8.28,8.999634,3.7376895,1
02-28-2018.csv,8.999634,8.0,544.3472,0
02-14-2018.csv,8.0,7.2,137.96399,0
02-15-2018.csv,7.2,8.556,964.9584,1
02-14-2018.csv,1.0,7.421454,137.96399,0
02-15-2018.csv,7.421454,8.73427,964.9584,1
02-20-2018.csv,8.73427,8.0,1158.0188,1
02-21-2018.csv,8.0,7.2,25518.521,0
03-01-2018.csv,7.2,8.855459,2346.9553,0
03-02-2018.csv,8.855459,8.0,1266.1168,2
02-23-2018.csv,8.0,8.28,870.4065,0
02-22-2018.csv,8.28,8.0,782.11884,2
02-16-2018.csv,8.0,8.0,12.9175625,2
02-28-2018.csv,8.0,8.0,3420.3232,1
