batch,reward,TP,FP,action,threshold
gaussian_batch_01_features.csv,0.0,1634,1,KEEP,0.038523
gaussian_batch_02_features.csv,0.3211313485518974,21216,16,DECREASE,0.0192615
gaussian_batch_03_features.csv,0.0,23300,16,KEEP,0.0192615
gaussian_batch_04_features.csv,0.0,23759,16,KEEP,0.0192615
gaussian_batch_05_features.csv,0.0,22901,16,KEEP,0.0192615
gaussian_batch_06_features.csv,0.0,23329,15,KEEP,0.0192615
gaussian_batch_07_features.csv,0.0,23700,16,KEEP,0.0192615
gaussian_batch_08_features.csv,0.0,23808,15,KEEP,0.0192615
gaussian_batch_09_features.csv,0.0,23868,16,KEEP,0.0192615
gaussian_batch_10_features.csv,0.0,23830,14,KEEP,0.0192615
gaussian_batch_11_features.csv,0.0,23830,15,KEEP,0.0192615
gaussian_batch_12_features.csv,0.0,23860,16,KEEP,0.0192615
gaussian_batch_13_features.csv,0.0,23875,16,KEEP,0.0192615
gaussian_batch_14_features.csv,0.0,23873,13,KEEP,0.0192615
gaussian_batch_15_features.csv,0.0,23867,15,KEEP,0.0192615
gaussian_batch_16_features.csv,-0.0003973812476676386,23875,38,DECREASE,0.00963075
gaussian_batch_17_features.csv,0.0,23875,40,KEEP,0.00963075
gaussian_batch_18_features.csv,0.0,23875,41,KEEP,0.00963075
gaussian_batch_19_features.csv,0.0,23875,38,KEEP,0.00963075
gaussian_batch_20_features.csv,0.0,23875,39,KEEP,0.00963075
