batch,threshold,precision,recall,f1_score,total_samples,anomalies,seed
gaussian_batch_01_features.csv,0.000685,0.9546563237234597,1.0,0.9768022256771132,477501,23875,7
gaussian_batch_02_features.csv,0.0010275,0.9715157680569684,1.0,0.9855521155830752,477501,23875,7
gaussian_batch_03_features.csv,0.00154125,0.9838463757365972,1.0,0.9918574217938598,477501,23875,7
gaussian_batch_04_features.csv,0.002311875,0.9906227957346168,1.0,0.9952893113223278,477501,23875,7
gaussian_batch_05_features.csv,0.0034678125,0.9948331180465853,1.0,0.9974098675690354,477501,23875,7
gaussian_batch_06_features.csv,0.00520171875,0.9974930012952826,0.999916230366492,0.9987031459170014,477501,23875,7
gaussian_batch_07_features.csv,0.007802578125,0.9981601505331382,0.9998324607329844,0.9989956057752668,477501,23875,7
gaussian_batch_08_features.csv,0.007802578125,0.9980767622710928,0.9998743455497382,0.9989747452555814,477501,23875,7
gaussian_batch_09_features.csv,0.0039012890625,0.995579834035278,1.0,0.9977850217318622,477501,23875,7
gaussian_batch_10_features.csv,0.00585193359375,0.9974098675690354,1.0,0.998703254413118,477501,23875,7
gaussian_batch_11_features.csv,0.008777900390625,0.9982438534872052,0.999958115183246,0.999100249000858,477501,23875,7
gaussian_batch_12_features.csv,0.0131668505859375,0.9988701510649872,0.9997905759162304,0.999330151553211,477501,23875,7
gaussian_batch_13_features.csv,0.0197502758789062,0.9994139562141572,1.0,0.999706892220082,477501,23875,7
gaussian_batch_14_features.csv,0.0197502758789062,0.9993720433708712,0.9998743455497382,0.9996231313596584,477501,23875,7
gaussian_batch_15_features.csv,0.0197502758789062,0.9993719644950596,0.9997486910994764,0.9995602923009276,477501,23875,7
gaussian_batch_16_features.csv,0.0197502758789062,0.9993720170811354,0.9998324607329844,0.9996021858838802,477501,23875,7
gaussian_batch_17_features.csv,0.0197502758789062,0.9993721222268732,1.0,0.9996859625248612,477501,23875,7
gaussian_batch_18_features.csv,0.0296254138183593,0.999790619765494,1.0,0.9998952989215788,477501,23875,7
gaussian_batch_19_features.csv,0.0296254138183593,0.9997487121497676,0.9998324607329844,0.9997905846875524,477501,23875,7
gaussian_batch_20_features.csv,0.0296254138183593,0.9997486595174264,0.9996230366492148,0.9996858441368044,477501,23875,7
batch_01_features.csv,0.0444375,1.0,1.0,1.0,20000,1000,42
batch_02_features.csv,0.06665625,1.0,1.0,1.0,20000,1000,42
batch_03_features.csv,0.033328125,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_04_features.csv,0.0166640625,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_05_features.csv,0.00833203125,0.9970089730807578,1.0,0.9985022466300548,20000,1000,42
batch_06_features.csv,0.012498046875,0.9940357852882704,1.0,0.9970089730807578,20000,1000,42
batch_07_features.csv,0.0187470703125,1.0,1.0,1.0,20000,1000,42
batch_08_features.csv,0.00937353515625,1.0,1.0,1.0,20000,1000,42
batch_09_features.csv,0.0140603027343749,1.0,1.0,1.0,20000,1000,42
batch_10_features.csv,0.0070301513671874,1.0,1.0,1.0,20000,1000,42
batch_11_features.csv,0.0035150756835937,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_12_features.csv,0.0035150756835937,0.9940357852882704,1.0,0.9970089730807578,20000,1000,42
batch_13_features.csv,0.0052726135253906,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_14_features.csv,0.0026363067626953,0.9970089730807578,1.0,0.9985022466300548,20000,1000,42
batch_15_features.csv,0.0013181533813476,0.9950248756218906,1.0,0.9975062344139652,20000,1000,42
batch_16_features.csv,0.0019772300720214,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_17_features.csv,0.0029658451080322,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_18_features.csv,0.0014829225540161,1.0,1.0,1.0,20000,1000,42
batch_19_features.csv,0.000741461277008,0.99601593625498,1.0,0.998003992015968,20000,1000,42
batch_20_features.csv,0.001112191915512,0.9970089730807578,1.0,0.9985022466300548,20000,1000,42
batch_21_features.csv,0.0016682878732681,0.999000999000999,1.0,0.9995002498750624,20000,1000,42
batch_22_features.csv,0.0025024318099021,0.9970089730807578,1.0,0.9985022466300548,20000,1000,42
batch_23_features.csv,0.0037536477148532,0.9950248756218906,1.0,0.9975062344139652,20000,1000,42
batch_24_features.csv,0.0037536477148532,0.9887005649717514,1.0,0.9943181818181818,17501,875,42
gaussian_batch_01_features.csv,0.0037536477148532,0.9952836094995616,0.998785340314136,0.99703140025923,477501,23875,42
gaussian_batch_02_features.csv,0.0037536477148532,0.9954549245267283,0.999916230366492,0.9976805900913136,477501,23875,42
gaussian_batch_03_features.csv,0.0056304715722799,0.9973678713181532,0.9998743455497382,0.9986195356619954,477501,23875,42
gaussian_batch_04_features.csv,0.0028152357861399,0.9932190698061404,1.0,0.9965980005426502,477501,23875,42
gaussian_batch_05_features.csv,0.0042228536792099,0.9964108342723592,1.0,0.9982021908186304,477501,23875,42
gaussian_batch_06_features.csv,0.0042228536792099,0.9963275185710708,0.999958115183246,0.998139515437841,477501,23875,42
gaussian_batch_07_features.csv,0.0063342805188149,0.9976598412035104,0.999958115183246,0.998807656102918,477501,23875,42
gaussian_batch_08_features.csv,0.0063342805188149,0.997534784607028,0.999958115183246,0.9987449799196788,477501,23875,42
gaussian_batch_09_features.csv,0.0095014207782223,0.9982021908186304,1.0,0.9991002866528572,477501,23875,42
gaussian_batch_10_features.csv,0.0095014207782223,0.9982437800543592,0.999916230366492,0.9990793052939946,477501,23875,42
gaussian_batch_11_features.csv,0.0095014207782223,0.9983272696859448,0.999916230366492,0.9991211182723696,477501,23875,42
gaussian_batch_12_features.csv,0.0095014207782223,0.9982437800543592,0.999916230366492,0.9990793052939946,477501,23875,42
gaussian_batch_13_features.csv,0.0142521311673335,0.9989539748953976,1.0,0.999476713762428,477501,23875,42
gaussian_batch_14_features.csv,0.0142521311673335,0.9989539748953976,1.0,0.999476713762428,477501,23875,42
gaussian_batch_15_features.csv,0.0213781967510003,0.9995393827729157,0.9997905759162304,0.9996649635647876,477501,23875,42
gaussian_batch_16_features.csv,0.0213781967510003,0.999497550558975,0.9998324607329844,0.9996649775953766,477501,23875,42
gaussian_batch_17_features.csv,0.0320672951265005,0.9998324887976884,1.0,0.999916237383256,477501,23875,42
gaussian_batch_18_features.csv,0.0481009426897507,1.0,0.9991204188481676,0.9995600159232332,477501,23875,42
gaussian_batch_19_features.csv,0.0240504713448753,0.999539421345727,0.9998743455497382,0.9997068553959546,477501,23875,42
gaussian_batch_20_features.csv,0.0240504713448753,0.9995394406297102,0.999916230366492,0.9997277999958124,477501,23875,42
gaussian_batch_01_features.csv,0.02405,0.9987328405491024,0.3961465968586387,0.5672814514919778,477501,23875,99
